sku,product_name,brand,category,subcategory,pack_size,weight_kg,unit_cost,list_price,status,launch_date
MP-1015,Dawnbrew Rooibos 80s x12,Dawnbrew,Beverages,Hot Beverages,Rooibos 80s x12,3.8,19.7,31.8,Active,2023-12-15
MP-1016,Brightwash Powder 2kg x6,Brightwash,Household Care,Laundry,Powder 2kg x6,12.4,21.1,28.6,Active,2023-07-09
MP-1017,Brightwash Powder 5kg x4,Brightwash,Household Care,Laundry,Powder 5kg x4,20.6,33.8,45.2,Active,2021-09-08
MP-1018,Brightwash Liquid 2L x6,Brightwash,  Household Care,Laundry,Liquid 2L x6,13,24.9,34.1,Active,2022-08-08
MP-1019,Brightwash Fabric Softener 2L x6,Brightwash,Household Care,Laundry,Fabric Softener 2L x6,13,19.4,27.3,Active,2021-10-06
MP-1020,Citrona Liquid 750ml x12,Citrona,Household Care,Dishwashing,Liquid 750ml x12,9.8,16.2,24.8,Active,2023-10-05
MP-1021,Citrona Liquid 2L x6,Citrona,Household Care,Dishwashing,Liquid 2L x6,13,20.1,30.6,Active,2021-07-07
MP-1022,Citrona Scourers 10pk x24,Citrona,Household Care,Dishwashing,Scourers 10pk x24,3.2,12.4,19.9,Active,2021-09-27
MP-1023,Halo Shine Glass 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Glass 400ml x12,6.1,18.6,27.4,Discontinued,2020-03-24
MP-1024,Halo Shine Multi 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Multi 400ml x12,6.1,18.9,27.8,Discontinued,2023-09-17
MP-1025,Halo Shine Furniture 300ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Furniture 300ml x12,4.9,17.2,25.6,Discontinued,2020-03-08
MP-1026,Halo Shine Kitchen 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Kitchen 400ml x12,6.1,19.1,28.1,Discontinued,2021-07-19
MP-1027,Verdelle Bath Soap 6x175g x8,Verdelle,Personal Care,Bath & Body,Bath Soap 6x175g x8,8.6,15.8,25.4,Active,2022-09-30
MP-1028,Verdelle Body Wash 400ml x12,Verdelle,Personal Care,Bath & Body,Body Wash 400ml x12,5.4,26.3,41.9,Active,2019-10-21
MP-1029,Verdelle Lotion 400ml x12,Verdelle,Personal Care,Bath & Body,Lotion 400ml x12,5.4,24.1,38.6,Active,2021-03-17
MP-1030,Verdelle Handwash 500ml x12,Verdelle,Personal Care,Bath & Body,Handwash 500ml x12,6.4,21.7,34.8,Active,2018-10-24
MP-1031,Minta Toothpaste 100ml x24,Minta,Personal Care,Oral Care,Toothpaste 100ml x24,3.1,28.4,46.2,Active,2021-02-06
MP-1032,Minta Toothbrush 12pk x12,Minta,Personal Care,Oral Care,Toothbrush 12pk x12,1.9,19.6,32.7,Active,2024-01-23
MP-1033,Minta Mouthwash 500ml x12,Minta,Personal Care,Oral Care,Mouthwash 500ml x12,6.6,27.1,43.5,Active,2019-01-01
MP-1034,Golden Acre Maize Meal 10kg,Golden Acre,Dry Goods,Staples,Maize Meal 10kg,10.3,8.9,11.7,Active,2019-05-27
MP-1035,Golden Acre Maize Meal 5kg x2,Golden Acre,Dry Goods,Staples,Maize Meal 5kg x2,10.3,9.2,12.1,Active,2024-02-13
MP-1036,Golden Acre Rice 5kg x4,Golden Acre,Dry Goods,Staples,Rice 5kg x4,20.4,26.8,35.4,Active,2023-07-20
MP-1037,Golden Acre Flour 2.5kg x8,Golden Acre,Dry Goods,Staples,Flour 2.5kg x8,20.3,18.9,25.1,Active,2021-06-11
MP-1038,Pantri Pasta 500g x20,Pantri,Dry Goods,Pasta & Sauce,Pasta 500g x20,10.2,14.6,23.1,Active,2021-12-20
MP-1039,Pantri Tomato Sauce 700g x12,Pantri,Dry Goods,Pasta & Sauce,Tomato Sauce 700g x12,8.8,17.3,27.2,Active,2023-02-05
MP-1040,Pantri Baked Beans 410g x24,Pantri,Dry Goods,Pasta & Sauce,Baked Beans 410g x24,10.1,,25.8,Active,2019-06-06
MP-1041,Pantri Cooking Oil 2L x6,Pantri,Dry Goods,Pasta & Sauce,Cooking Oil 2L x6,11.4,22.7,31.6,Active,2020-06-03
MP-1042,Meadowvale Full Cream Milk 6x1L,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Full Cream Milk 6x1L,6.3,7.8,10.9,Active,2021-06-09
MP-1043,Meadowvale Low Fat Milk 6x1L,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Low Fat Milk 6x1L,6.3,7.7,10.8,Active,2021-08-28
MP-1044,Meadowvale Yoghurt 1kg x6,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Yoghurt 1kg x6,6.4,13.9,21.4,Active,2019-06-13
MP-1045,Meadowvale Spread 500g x12,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Spread 500g x12,6.3,18.2,28.7,Active,2019-04-16
MP-1046,Crunchpop Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Chips 125g x24,3.2,19.8,33.6,Active,2021-12-18
MP-1047,Crunchpop Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Nuts 200g x18,3.8,24.6,41.2,Active,2019-04-20
MP-1048,Crunchpop Popcorn 100g x24,Crunchpop,  Snacks & Confectionery,Savoury Snacks,Popcorn 100g x24,2.6,16.4,28.9,Active,2019-01-20
MP-1049,Sweetwell Biscuits 200g x24,Sweetwell,Snacks & Confectionery,Confectionery,Biscuits 200g x24,5.1,21.3,35.8,Active,2019-06-29
MP-1050,Sweetwell Sweets 150g x30,Sweetwell,Snacks & Confectionery,Confectionery,Sweets 150g x30,4.8,18.7,32.4,Active,2019-07-29
MP-1051,Sweetwell Chocolate 90g x36,Sweetwell,Snacks & Confectionery,Confectionery,Chocolate 90g x36,3.4,27.9,47.1,Active,2020-01-02
MP-1052,Little Fern Nappies M 44s x4,Little Fern,Baby & Infant,Baby Care,Nappies M 44s x4,9.2,41.6,63.8,Active,2020-11-14
MP-1053,Little Fern Nappies L 40s x4,Little Fern,Baby & Infant,Baby Care,Nappies L 40s x4,9.6,42.9,65.4,Active,2020-08-20
MP-1054,Little Fern Wipes 80s x12,Little Fern,Baby & Infant,Baby Care,Wipes 80s x12,7.1,22.4,36.1,Active,2022-08-03
MP-1055,Little Fern Baby Lotion 400ml x12,Little Fern,Baby & Infant,Baby Care,Baby Lotion 400ml x12,5.4,26.8,42.3,Active,2022-12-03
MP-1056,Softleaf Toilet Tissue 9pk x6,Softleaf,Paper & Hygiene,Paper Products,Toilet Tissue 9pk x6,8.4,23.1,33.2,Active,2022-09-17
MP-1057,Softleaf Kitchen Towel 2pk x12,Softleaf,Paper & Hygiene,Paper Products,Kitchen Towel 2pk x12,7.2,18.6,28.4,Active,2023-07-20
MP-1058,Softleaf Facial Tissue 150s x24,Softleaf,Paper & Hygiene,Paper Products,Facial Tissue 150s x24,6.1,20.4,32.1,Active,2021-04-01
MP-1059,Softleaf Serviettes 100s x20,Softleaf,Paper & Hygiene ,Paper Products,Serviettes 100s x20,5.4,14.8,23.6,Active,2019-07-14
MP-1060,Zesta Guava Orange 12x1L,Zesta,  Beverages,Juice,Guava Orange 12x1L,13.1,17.2,24.81,Active,2021-08-31
MP-1061,Zesta Pineapple Orange 12x1L,Zesta,Beverages,Juice,Pineapple Orange 12x1L,13.1,18.67,28.65,Active,2022-01-22
MP-1062,Zesta Mixed Berry Orange 12x1L,Zesta,Beverages,Juice,Mixed Berry Orange 12x1L,13.1,,24.69,Active,2022-11-03
MP-1063,Zesta Guava Mango 12x1L,Zesta,Beverages,Juice,Guava Mango 12x1L,13.1,15.93,22.64,Active,2023-12-04
MP-1064,Zesta Pineapple Mango 12x1L,Zesta,Beverages,Juice,Pineapple Mango 12x1L,13.1,17.94,27.61,Active,2021-11-08
MP-1065,Zesta Mixed Berry Mango 12x1L,Zesta,Beverages,Juice,Mixed Berry Mango 12x1L,13.1,18.18,27.16,Active,2023-04-20
MP-1066,Kopje Cola Cream Soda Original 24x330ml,Kopje Cola,Beverages,Carbonates,Cream Soda Original 24x330ml,9.8,12.32,19.74,Active,2021-01-22
MP-1067,Kopje Cola Ginger Original 24x330ml,Kopje Cola,Beverages,Carbonates,Ginger Original 24x330ml,9.8,11.36,17.46,Active,2024-01-22
MP-1068,Kopje Cola Orange Original 24x330ml,Kopje Cola,Beverages,Carbonates,Orange Original 24x330ml,9.8,11.11,17.72,Active,2022-06-17
MP-1069,Kopje Cola Cream Soda Zero 24x330ml,Kopje Cola,Beverages,Carbonates,Cream Soda Zero 24x330ml,9.8,,17.45,Active,2021-06-04
MP-1070,Kopje Cola Ginger Zero 24x330ml,Kopje Cola,Beverages,Carbonates,Ginger Zero 24x330ml,9.8,10.96,17.3,Active,2024-06-09
MP-1071,Kopje Cola Orange Zero 24x330ml,Kopje Cola,  Beverages,Carbonates,Orange Zero 24x330ml,9.8,11.65,18.9,Active,2021-05-21
MP-1072,Dawnbrew Decaf Tea 100s x12,Dawnbrew,Beverages,Hot Beverages,Decaf Tea 100s x12,4.6,21.91,34.36,Active,2023-12-06
MP-1073,Dawnbrew Strong Tea 100s x12,Dawnbrew,Beverages,Hot Beverages,Strong Tea 100s x12,4.6,22.43,35.69,Active,2020-12-06
MP-1074,Dawnbrew Decaf Instant Coffee 200g x12,Dawnbrew,Beverages ,Hot Beverages,Decaf Instant Coffee 200g x12,3.1,39.32,64.42,Active,2023-11-12
MP-1075,Dawnbrew Strong Instant Coffee 200g x12,Dawnbrew,Beverages,Hot Beverages,Strong Instant Coffee 200g x12,3.1,38.93,62.55,Active,2023-10-23
MP-1076,Brightwash Spring Fresh Powder 2kg x6,Brightwash,  Household Care,Laundry,Spring Fresh Powder 2kg x6,12.4,22.3,29.59,Active,2024-03-24
MP-1077,Brightwash Floral Powder 2kg x6,Brightwash,Household Care,Laundry,Floral Powder 2kg x6,12.4,21.02,28.21,Active,2022-01-28
MP-1078,Brightwash Spring Fresh Powder 5kg x4,Brightwash,Household Care,Laundry,Spring Fresh Powder 5kg x4,20.6,30.23,40.21,Active,2024-06-30
MP-1079,Brightwash Floral Powder 5kg x4,Brightwash,Household Care,Laundry,Floral Powder 5kg x4,20.6,32.43,42.43,Active,2022-06-30
MP-1080,Citrona Lemon Liquid 750ml x12,Citrona,Household Care,Dishwashing,Lemon Liquid 750ml x12,9.8,15.17,23.81,Active,2024-02-17
MP-1081,Citrona Green Apple Liquid 750ml x12,Citrona,  Household Care,Dishwashing,Green Apple Liquid 750ml x12,9.8,15.4,24.05,Active,2024-04-11
MP-1082,Citrona Lemon Liquid 2L x6,Citrona,Household Care ,Dishwashing,Lemon Liquid 2L x6,13,19.36,28.72,Active,2023-03-03
MP-1083,Citrona Green Apple Liquid 2L x6,Citrona,Household Care,Dishwashing,Green Apple Liquid 2L x6,13,19.91,30.18,Active,2022-07-21
MP-1084,Halo Shine Lemon Glass 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Lemon Glass 400ml x12,6.1,17.82,26.27,Discontinued,2023-02-24
MP-1085,Halo Shine Ocean Glass 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Ocean Glass 400ml x12,6.1,18.9,27.05,Discontinued,2021-03-26
MP-1086,Halo Shine Lemon Multi 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Lemon Multi 400ml x12,6.1,,28.94,Discontinued,2023-04-02
MP-1087,Halo Shine Ocean Multi 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Ocean Multi 400ml x12,6.1,16.8,24.89,Discontinued,2020-12-14
MP-1088,Verdelle Aloe Bath Soap 6x175g x8,Verdelle,Personal Care,Bath & Body,Aloe Bath Soap 6x175g x8,8.6,16.54,25.26,Active,2022-02-06
MP-1089,Verdelle Coconut Bath Soap 6x175g x8,Verdelle,Personal Care,Bath & Body,Coconut Bath Soap 6x175g x8,8.6,15.55,25.31,Active,2022-11-13
MP-1090,Verdelle Lavender Bath Soap 6x175g x8,Verdelle,Personal Care,Bath & Body,Lavender Bath Soap 6x175g x8,8.6,16.09,25.86,Active,2022-12-03
MP-1091,Verdelle Aloe Body Wash 400ml x12,Verdelle,  Personal Care,Bath & Body,Aloe Body Wash 400ml x12,5.4,27.38,44.97,Active,2021-12-16
MP-1092,Verdelle Coconut Body Wash 400ml x12,Verdelle,Personal Care,Bath & Body,Coconut Body Wash 400ml x12,5.4,,41.7,Active,2022-09-23
MP-1093,Verdelle Lavender Body Wash 400ml x12,Verdelle,Personal Care,Bath & Body,Lavender Body Wash 400ml x12,5.4,27.66,43.89,Active,2023-11-18
MP-1094,Minta Whitening Toothpaste 100ml x24,Minta,Personal Care,Oral Care,Whitening Toothpaste 100ml x24,3.1,26.34,42.41,Active,2021-08-13
MP-1095,Minta Herbal Toothpaste 100ml x24,Minta,Personal Care,Oral Care,Herbal Toothpaste 100ml x24,3.1,27.66,44.58,Active,2023-03-23
MP-1096,Minta Whitening Toothbrush 12pk x12,Minta,  Personal Care,Oral Care,Whitening Toothbrush 12pk x12,1.9,19.82,32.51,Active,2021-04-20
MP-1097,Minta Herbal Toothbrush 12pk x12,Minta,Personal Care,Oral Care,Herbal Toothbrush 12pk x12,1.9,18.22,30.1,Active,2022-02-16
MP-1098,Golden Acre Premium Maize Meal 10kg,Golden Acre,Dry Goods,Staples,Premium Maize Meal 10kg,10.3,8.52,11.25,Active,2022-11-16
MP-1099,Golden Acre Value Maize Meal 10kg,Golden Acre,Dry Goods,Staples,Value Maize Meal 10kg,10.3,8.78,11.6,Active,2023-09-06
MP-1100,Golden Acre Premium Maize Meal 5kg x2,Golden Acre,Dry Goods,Staples,Premium Maize Meal 5kg x2,10.3,9.13,11.63,Active,2023-08-30
MP-1101,Golden Acre Value Maize Meal 5kg x2,Golden Acre,Dry Goods,Staples,Value Maize Meal 5kg x2,10.3,,12.37,Active,2023-08-23
MP-1102,Pantri Wholewheat Pasta 500g x20,Pantri,Dry Goods,Pasta & Sauce,Wholewheat Pasta 500g x20,10.2,13.64,20.92,Active,2021-08-11
MP-1103,Pantri Chilli Pasta 500g x20,Pantri,Dry Goods,Pasta & Sauce,Chilli Pasta 500g x20,10.2,14.32,22.05,Active,2024-01-07
MP-1104,Pantri Wholewheat Tomato Sauce 700g x12,Pantri,  Dry Goods,Pasta & Sauce,Wholewheat Tomato Sauce 700g x12,8.8,17.1,26.24,Active,2023-02-18
MP-1105,Pantri Chilli Tomato Sauce 700g x12,Pantri,Dry Goods,Pasta & Sauce,Chilli Tomato Sauce 700g x12,8.8,17.06,26.68,Active,2021-01-13
MP-1106,Meadowvale Strawberry Full Cream Milk 6x1L,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Strawberry Full Cream Milk 6x1L,6.3,8.15,11.46,Active,2024-04-18
MP-1107,Meadowvale Vanilla Full Cream Milk 6x1L,Meadowvale,  Dairy & Chilled,Milk & Yoghurt,Vanilla Full Cream Milk 6x1L,6.3,8.49,11.79,Active,2022-01-01
MP-1108,Meadowvale Strawberry Low Fat Milk 6x1L,Meadowvale,  Dairy & Chilled,Milk & Yoghurt,Strawberry Low Fat Milk 6x1L,6.3,7.58,10.62,Active,2022-05-13
MP-1109,Meadowvale Vanilla Low Fat Milk 6x1L,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Vanilla Low Fat Milk 6x1L,6.3,7.5,10.49,Active,2023-05-15
MP-1110,Crunchpop Salt & Vinegar Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Salt & Vinegar Chips 125g x24,3.2,19.77,34.64,Active,2021-11-23
MP-1111,Crunchpop Cheese Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Cheese Chips 125g x24,3.2,17.79,28.86,Active,2021-09-15
MP-1112,Crunchpop Barbecue Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Barbecue Chips 125g x24,3.2,19.05,32.6,Active,2023-11-16
MP-1113,Crunchpop Chilli Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Chilli Chips 125g x24,3.2,19.82,34.01,Active,2022-07-22
MP-1114,Crunchpop Salt & Vinegar Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Salt & Vinegar Nuts 200g x18,3.8,24.57,40.32,Active,2021-11-15
MP-1115,Crunchpop Cheese Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Cheese Nuts 200g x18,3.8,23.71,39.03,Active,2024-05-28
MP-1116,Crunchpop Barbecue Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Barbecue Nuts 200g x18,3.8,24.54,42,Active,2023-08-20
MP-1117,Crunchpop Chilli Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Chilli Nuts 200g x18,3.8,24.2,39.31,Active,2021-08-30
MP-1118,Sweetwell Caramel Biscuits 200g x24,Sweetwell,Snacks & Confectionery,Confectionery,Caramel Biscuits 200g x24,5.1,23.12,39.69,Active,2021-08-30
MP-1119,Sweetwell Mint Biscuits 200g x24,Sweetwell,Snacks & Confectionery,Confectionery,Mint Biscuits 200g x24,5.1,21.19,36.72,Active,2022-02-20
MP-1120,Sweetwell Berry Biscuits 200g x24,Sweetwell,Snacks & Confectionery,Confectionery,Berry Biscuits 200g x24,5.1,20.52,34.8,Active,2022-12-11
MP-1121,Sweetwell Caramel Sweets 150g x30,Sweetwell,Snacks & Confectionery,Confectionery,Caramel Sweets 150g x30,4.8,19.56,33.18,Active,2021-11-10
MP-1122,Sweetwell Mint Sweets 150g x30,Sweetwell,Snacks & Confectionery,Confectionery,Mint Sweets 150g x30,4.8,18.55,31.89,Active,2023-09-01
MP-1123,Sweetwell Berry Sweets 150g x30,Sweetwell,  Snacks & Confectionery,Confectionery,Berry Sweets 150g x30,4.8,19.31,33.52,Active,2021-01-04
MP-1124,Little Fern Sensitive Nappies M 44s x4,Little Fern,Baby & Infant,Baby Care,Sensitive Nappies M 44s x4,9.2,43.37,66.38,Active,2023-04-30
MP-1125,Little Fern Night Nappies M 44s x4,Little Fern,Baby & Infant,Baby Care,Night Nappies M 44s x4,9.2,43.69,63.27,Active,2022-03-16
MP-1126,Little Fern Sensitive Nappies L 40s x4,Little Fern,  Baby & Infant,Baby Care,Sensitive Nappies L 40s x4,9.6,45.14,68.77,Active,2023-01-04
MP-1127,Little Fern Night Nappies L 40s x4,Little Fern,Baby & Infant,Baby Care,Night Nappies L 40s x4,9.6,45.21,72.42,Active,2021-02-08
MP-1128,Softleaf Scented Toilet Tissue 9pk x6,Softleaf,Paper & Hygiene,Paper Products,Scented Toilet Tissue 9pk x6,8.4,23.5,33.86,Active,2022-03-05
MP-1129,Softleaf Extra Soft Toilet Tissue 9pk x6,Softleaf,Paper & Hygiene,Paper Products,Extra Soft Toilet Tissue 9pk x6,8.4,21.52,30.52,Active,2023-09-13
MP-1130,Softleaf Scented Kitchen Towel 2pk x12,Softleaf,Paper & Hygiene,Paper Products,Scented Kitchen Towel 2pk x12,7.2,18.93,28.63,Active,2021-11-01
MP-1131,Softleaf Extra Soft Kitchen Towel 2pk x12,Softleaf,Paper & Hygiene,Paper Products,Extra Soft Kitchen Towel 2pk x12,7.2,,30.41,Active,2021-05-17
