sku,product_name,brand,category,subcategory,pack_size,weight_kg,unit_cost,list_price,status,launch_date
MP-1074,Dawnbrew Decaf Instant Coffee 200g x12,Dawnbrew,Beverages ,Hot Beverages,Decaf Instant Coffee 200g x12,3.1,353.85,579.76,Active,2023-11-12
MP-1075,Dawnbrew Strong Instant Coffee 200g x12,Dawnbrew,Beverages,Hot Beverages,Strong Instant Coffee 200g x12,3.1,350.4,562.92,Active,2023-10-23
MP-1076,Brightwash Spring Fresh Powder 2kg x6,Brightwash,  Household Care,Laundry,Spring Fresh Powder 2kg x6,12.4,200.74,266.32,Active,2024-03-24
MP-1077,Brightwash Floral Powder 2kg x6,Brightwash,Household Care,Laundry,Floral Powder 2kg x6,12.4,189.17,253.91,Active,2022-01-28
MP-1078,Brightwash Spring Fresh Powder 5kg x4,Brightwash,Household Care,Laundry,Spring Fresh Powder 5kg x4,20.6,272.05,361.88,Active,2024-06-30
MP-1079,Brightwash Floral Powder 5kg x4,Brightwash,Household Care,Laundry,Floral Powder 5kg x4,20.6,291.9,381.85,Active,2022-06-30
MP-1080,Citrona Lemon Liquid 750ml x12,Citrona,Household Care,Dishwashing,Lemon Liquid 750ml x12,9.8,136.49,214.32,Active,2024-02-17
MP-1081,Citrona Green Apple Liquid 750ml x12,Citrona,  Household Care,Dishwashing,Green Apple Liquid 750ml x12,9.8,138.56,216.42,Active,2024-04-11
MP-1082,Citrona Lemon Liquid 2L x6,Citrona,Household Care ,Dishwashing,Lemon Liquid 2L x6,13,174.28,258.45,Active,2023-03-03
MP-1083,Citrona Green Apple Liquid 2L x6,Citrona,Household Care,Dishwashing,Green Apple Liquid 2L x6,13,179.22,271.59,Active,2022-07-21
MP-1084,Halo Shine Lemon Glass 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Lemon Glass 400ml x12,6.1,160.34,236.43,Discontinued,2023-02-24
MP-1085,Halo Shine Ocean Glass 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Ocean Glass 400ml x12,6.1,170.08,243.45,Discontinued,2021-03-26
MP-1086,Halo Shine Lemon Multi 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Lemon Multi 400ml x12,6.1,,260.45,Discontinued,2023-04-02
MP-1087,Halo Shine Ocean Multi 400ml x12,Halo Shine,Household Care,Glass & Surface Aerosol,Ocean Multi 400ml x12,6.1,151.2,223.97,Discontinued,2020-12-14
MP-1088,Verdelle Aloe Bath Soap 6x175g x8,Verdelle,Personal Care,Bath & Body,Aloe Bath Soap 6x175g x8,8.6,148.85,227.33,Active,2022-02-06
MP-1089,Verdelle Coconut Bath Soap 6x175g x8,Verdelle,Personal Care,Bath & Body,Coconut Bath Soap 6x175g x8,8.6,139.94,227.8,Active,2022-11-13
MP-1090,Verdelle Lavender Bath Soap 6x175g x8,Verdelle,Personal Care,Bath & Body,Lavender Bath Soap 6x175g x8,8.6,144.77,232.74,Active,2022-12-03
MP-1091,Verdelle Aloe Body Wash 400ml x12,Verdelle,  Personal Care,Bath & Body,Aloe Body Wash 400ml x12,5.4,246.41,404.71,Active,2021-12-16
MP-1092,Verdelle Coconut Body Wash 400ml x12,Verdelle,Personal Care,Bath & Body,Coconut Body Wash 400ml x12,5.4,,375.33,Active,2022-09-23
MP-1093,Verdelle Lavender Body Wash 400ml x12,Verdelle,Personal Care,Bath & Body,Lavender Body Wash 400ml x12,5.4,248.91,395.04,Active,2023-11-18
MP-1094,Minta Whitening Toothpaste 100ml x24,Minta,Personal Care,Oral Care,Whitening Toothpaste 100ml x24,3.1,237.07,381.68,Active,2021-08-13
MP-1095,Minta Herbal Toothpaste 100ml x24,Minta,Personal Care,Oral Care,Herbal Toothpaste 100ml x24,3.1,248.91,401.24,Active,2023-03-23
MP-1096,Minta Whitening Toothbrush 12pk x12,Minta,  Personal Care,Oral Care,Whitening Toothbrush 12pk x12,1.9,178.34,292.57,Active,2021-04-20
MP-1097,Minta Herbal Toothbrush 12pk x12,Minta,Personal Care,Oral Care,Herbal Toothbrush 12pk x12,1.9,163.99,270.9,Active,2022-02-16
MP-1098,Sunveld Premium Maize Meal 10kg,Sunveld,Dry Goods,Staples,Premium Maize Meal 10kg,10.3,76.7,101.28,Active,2022-11-16
MP-1099,Sunveld Value Maize Meal 10kg,Sunveld,Dry Goods,Staples,Value Maize Meal 10kg,10.3,79,104.44,Active,2023-09-06
MP-1100,Sunveld Premium Maize Meal 5kg x2,Sunveld,Dry Goods,Staples,Premium Maize Meal 5kg x2,10.3,82.18,104.64,Active,2023-08-30
MP-1101,Sunveld Value Maize Meal 5kg x2,Sunveld,Dry Goods,Staples,Value Maize Meal 5kg x2,10.3,,111.29,Active,2023-08-23
MP-1102,Pantri Wholewheat Pasta 500g x20,Pantri,Dry Goods,Pasta & Sauce,Wholewheat Pasta 500g x20,10.2,122.75,188.25,Active,2021-08-11
MP-1103,Pantri Chilli Pasta 500g x20,Pantri,Dry Goods,Pasta & Sauce,Chilli Pasta 500g x20,10.2,128.92,198.46,Active,2024-01-07
MP-1104,Pantri Wholewheat Tomato Sauce 700g x12,Pantri,  Dry Goods,Pasta & Sauce,Wholewheat Tomato Sauce 700g x12,8.8,153.87,236.16,Active,2023-02-18
MP-1105,Pantri Chilli Tomato Sauce 700g x12,Pantri,Dry Goods,Pasta & Sauce,Chilli Tomato Sauce 700g x12,8.8,153.52,240.12,Active,2021-01-13
MP-1106,Meadowvale Strawberry Full Cream Milk 6x1L,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Strawberry Full Cream Milk 6x1L,6.3,73.35,103.11,Active,2024-04-18
MP-1107,Meadowvale Vanilla Full Cream Milk 6x1L,Meadowvale,  Dairy & Chilled,Milk & Yoghurt,Vanilla Full Cream Milk 6x1L,6.3,76.41,106.11,Active,2022-01-01
MP-1108,Meadowvale Strawberry Low Fat Milk 6x1L,Meadowvale,  Dairy & Chilled,Milk & Yoghurt,Strawberry Low Fat Milk 6x1L,6.3,68.18,95.56,Active,2022-05-13
MP-1109,Meadowvale Vanilla Low Fat Milk 6x1L,Meadowvale,Dairy & Chilled,Milk & Yoghurt,Vanilla Low Fat Milk 6x1L,6.3,67.46,94.42,Active,2023-05-15
MP-1110,Crunchpop Salt & Vinegar Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Salt & Vinegar Chips 125g x24,3.2,177.89,311.74,Active,2021-11-23
MP-1111,Crunchpop Cheese Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Cheese Chips 125g x24,3.2,160.1,259.7,Active,2021-09-15
MP-1112,Crunchpop Barbecue Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Barbecue Chips 125g x24,3.2,171.42,293.4,Active,2023-11-16
MP-1113,Crunchpop Chilli Chips 125g x24,Crunchpop,Snacks & Confectionery,Savoury Snacks,Chilli Chips 125g x24,3.2,178.37,306.05,Active,2022-07-22
MP-1114,Crunchpop Salt & Vinegar Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Salt & Vinegar Nuts 200g x18,3.8,221.13,362.84,Active,2021-11-15
MP-1115,Crunchpop Cheese Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Cheese Nuts 200g x18,3.8,213.36,351.28,Active,2024-05-28
MP-1116,Crunchpop Barbecue Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Barbecue Nuts 200g x18,3.8,220.9,377.98,Active,2023-08-20
MP-1117,Crunchpop Chilli Nuts 200g x18,Crunchpop,Snacks & Confectionery,Savoury Snacks,Chilli Nuts 200g x18,3.8,217.81,353.77,Active,2021-08-30
MP-1118,Sweetwell Caramel Biscuits 200g x24,Sweetwell,Snacks & Confectionery,Confectionery,Caramel Biscuits 200g x24,5.1,208.11,357.24,Active,2021-08-30
MP-1119,Sweetwell Mint Biscuits 200g x24,Sweetwell,Snacks & Confectionery,Confectionery,Mint Biscuits 200g x24,5.1,190.7,330.48,Active,2022-02-20
MP-1120,Sweetwell Berry Biscuits 200g x24,Sweetwell,Snacks & Confectionery,Confectionery,Berry Biscuits 200g x24,5.1,184.64,313.23,Active,2022-12-11
MP-1121,Sweetwell Caramel Sweets 150g x30,Sweetwell,Snacks & Confectionery,Confectionery,Caramel Sweets 150g x30,4.8,176.04,298.65,Active,2021-11-10
MP-1122,Sweetwell Mint Sweets 150g x30,Sweetwell,Snacks & Confectionery,Confectionery,Mint Sweets 150g x30,4.8,166.94,287.01,Active,2023-09-01
MP-1123,Sweetwell Berry Sweets 150g x30,Sweetwell,  Snacks & Confectionery,Confectionery,Berry Sweets 150g x30,4.8,173.81,301.64,Active,2021-01-04
MP-1124,Little Fern Sensitive Nappies M 44s x4,Little Fern,Baby & Infant,Baby Care,Sensitive Nappies M 44s x4,9.2,390.29,597.43,Active,2023-04-30
MP-1125,Little Fern Night Nappies M 44s x4,Little Fern,Baby & Infant,Baby Care,Night Nappies M 44s x4,9.2,393.19,569.46,Active,2022-03-16
MP-1126,Little Fern Sensitive Nappies L 40s x4,Little Fern,  Baby & Infant,Baby Care,Sensitive Nappies L 40s x4,9.6,406.3,618.89,Active,2023-01-04
MP-1127,Little Fern Night Nappies L 40s x4,Little Fern,Baby & Infant,Baby Care,Night Nappies L 40s x4,9.6,406.89,651.8,Active,2021-02-08
MP-1128,Softleaf Scented Toilet Tissue 9pk x6,Softleaf,Paper & Hygiene,Paper Products,Scented Toilet Tissue 9pk x6,8.4,211.46,304.76,Active,2022-03-05
MP-1129,Softleaf Extra Soft Toilet Tissue 9pk x6,Softleaf,Paper & Hygiene,Paper Products,Extra Soft Toilet Tissue 9pk x6,8.4,193.68,274.67,Active,2023-09-13
MP-1130,Softleaf Scented Kitchen Towel 2pk x12,Softleaf,Paper & Hygiene,Paper Products,Scented Kitchen Towel 2pk x12,7.2,170.34,257.71,Active,2021-11-01
MP-1131,Softleaf Extra Soft Kitchen Towel 2pk x12,Softleaf,Paper & Hygiene,Paper Products,Extra Soft Kitchen Towel 2pk x12,7.2,,273.66,Active,2021-05-17
